Tópico;Palabra 1;Palabra 2;Palabra 3;Palabra 4;Palabra 5;;;;;;;;;;;;;;;
1;marihuana ;weed ;cannabis ;autocultivo ;uso ;proyecto ;medicinal ;plantas ;smoke ;marijuana ;pdi ;salud ;foto: ;tener ;fue ;carabineros ;aprueba ;xd ;despenaliza ;cÃ¡mara
2;marihuana ;sobre ;cannabis ;legalización;consumo ;marihuana. ;despenalizaciÃ³n ;marihuana, ;uruguay ;sus ;legalizar ;fuma ;@t13: ;gobierno ;Â» ;@24horastvn: ;uso ;marihuana: ;autocultivo ;@thecliniccl:
3;marihuana ;cannabis ;aceite ;vía;fumar ;@cannabischile ;medicinal ;@youtube ;cultivo ;video ;@cooperativa: ;;desde ;puede ;fumando ;alcohol ;estudio ;base ;gusta ;segÃºn
4;marihuana ;cannabis ;pdi;marihuana, ;decomiso;fumando ;medicinal ;porro ;pito ;hace ;#leyautocultivo ;marihuana? ;vez ;fumo ;medicinales ;hay ;mejor ;marihuana. ;primera ;todo
